J,mu,phi,<n>
0.0,0.0,0.002949576200538321,10.395869089247732
0.0,0.01694915254237288,1.286020835847038e-15,15.0
0.0,0.03389830508474576,2.8384541590118044e-15,15.0
0.0,0.05084745762711865,1.318292632341959e-15,15.0
0.0,0.06779661016949153,2.547028442525099e-16,15.0
0.0,0.0847457627118644,1.2238191370318235e-15,15.0
0.0,0.1016949152542373,1.1075932526368434e-16,15.0
0.0,0.11864406779661017,4.3523486387416275e-16,15.0
0.0,0.13559322033898305,5.111127482944717e-16,15.0
0.0,0.15254237288135594,2.1658660106317778e-16,15.0
0.0,0.1694915254237288,7.152607053996883e-16,15.0
0.0,0.1864406779661017,7.173750352108814e-16,15.0
0.0,0.2033898305084746,2.187870132846839e-16,15.0
0.0,0.22033898305084745,9.411986996842447e-17,15.0
0.0,0.23728813559322035,8.842821732024195e-16,15.0
0.0,0.2542372881355932,4.911149181257744e-16,15.0
0.0,0.2711864406779661,1.5589788877485785e-15,15.0
0.0,0.288135593220339,7.343379731541396e-16,15.0
0.0,0.3050847457627119,4.657741589561778e-16,15.0
0.0,0.3220338983050847,1.873129810176236e-15,15.0
0.0,0.3389830508474576,4.773715818098485e-16,15.0
0.0,0.3559322033898305,9.964569451011201e-16,15.0
0.0,0.3728813559322034,2.015238372979804e-15,15.0
0.0,0.3898305084745763,2.467910130257727e-15,15.0
0.0,0.4067796610169492,1.5424698104850998e-15,15.0
0.0,0.423728813559322,3.029695162782805e-15,15.0
0.0,0.4406779661016949,3.0094174673613277e-15,15.0
0.0,0.4576271186440678,1.5834792648461167e-15,15.0
0.0,0.4745762711864407,4.473108144218266e-16,15.0
0.0,0.4915254237288136,8.326134898881059e-15,15.0
0.0,0.5084745762711864,5.047880185921698e-15,15.0
0.0,0.5254237288135594,8.775036993380236e-16,15.0
0.0,0.5423728813559322,3.5866761407601364e-17,15.0
0.0,0.559322033898305,2.0081463274780566e-15,15.0
0.0,0.576271186440678,2.890061906432038e-15,15.0
0.0,0.5932203389830508,4.684257277034634e-15,15.0
0.0,0.6101694915254238,3.063836467627656e-15,15.0
0.0,0.6271186440677966,5.691725702038776e-15,15.0
0.0,0.6440677966101694,7.101694619307722e-15,15.0
0.0,0.6610169491525424,6.520790538454895e-15,15.0
0.0,0.6779661016949152,1.6089987012519624e-15,15.0
0.0,0.6949152542372882,6.671547718673997e-16,15.0
0.0,0.711864406779661,5.7691869379949845e-15,15.0
0.0,0.7288135593220338,2.560750792997841e-15,15.0
0.0,0.7457627118644068,7.626131975700156e-15,15.0
0.0,0.7627118644067796,4.974869738532889e-15,15.0
0.0,0.7796610169491526,9.690958990453845e-16,15.0
0.0,0.7966101694915254,2.0506496716504855e-15,15.0
0.0,0.8135593220338984,3.264548470214444e-15,15.0
0.0,0.8305084745762712,2.2922898817351425e-14,15.0
0.0,0.847457627118644,1.5555873330607687e-14,15.0
0.0,0.864406779661017,2.0035084929299525e-14,15.0
0.0,0.8813559322033898,6.542859132395308e-15,15.0
0.0,0.8983050847457628,7.326921821241826e-15,15.0
0.0,0.9152542372881356,1.6525022033813056e-14,15.0
0.0,0.9322033898305084,3.1642239412143907e-14,15.0
0.0,0.9491525423728814,1.3492175289943276e-13,15.0
0.0,0.9661016949152542,4.1261467168631836e-14,15.0
0.0,0.9830508474576272,2.57736975130448e-13,15.0
0.0,1.0,0.007213589753166472,19.457567096579478
0.0033898305084745766,0.0,0.0001854693390842166,10.000000340732615
0.0033898305084745766,0.01694915254237288,9.062572753388304e-09,14.999999909007261
0.0033898305084745766,0.03389830508474576,3.660600600322328e-11,14.99999997942987
0.0033898305084745766,0.05084745762711865,1.8041534295272285e-12,14.999999991042106
0.0033898305084745766,0.06779661016949153,2.3092148770078576e-13,14.999999995015303
0.0033898305084745766,0.0847457627118644,5.4274834146863105e-14,14.99999999683969
0.0033898305084745766,0.1016949152542373,1.7294120263160998e-14,14.999999997827546
0.0033898305084745766,0.11864406779661017,4.24007031213313e-15,14.999999998422723
0.0033898305084745766,0.13559322033898305,2.1648842948883133e-15,14.999999998809358
0.0033898305084745766,0.15254237288135594,7.549236221165972e-16,14.999999999075136
0.0033898305084745766,0.1694915254237288,2.70013355414877e-15,14.999999999265913
0.0033898305084745766,0.1864406779661017,3.487129644333797e-16,14.99999999940784
0.0033898305084745766,0.2033898305084746,3.867792403383068e-15,14.999999999516593
0.0033898305084745766,0.22033898305084745,2.5506248700901983e-15,14.999999999602155
0.0033898305084745766,0.23728813559322035,4.0463907512710495e-15,14.99999999967082
0.0033898305084745766,0.2542372881355932,2.7688179994456945e-15,14.99999999972717
0.0033898305084745766,0.2711864406779661,1.3665603124982158e-16,14.999999999774134
0.0033898305084745766,0.288135593220339,2.1934671919046643e-15,14.999999999813985
0.0033898305084745766,0.3050847457627119,2.4260465123915433e-16,14.999999999848436
0.0033898305084745766,0.3220338983050847,7.566512865780882e-16,14.999999999878536
0.0033898305084745766,0.3389830508474576,2.2314890352126604e-15,14.999999999905391
0.0033898305084745766,0.3559322033898305,2.0706500050774055e-16,14.999999999929557
0.0033898305084745766,0.3728813559322034,2.83743309589323e-16,14.99999999995178
0.0033898305084745766,0.3898305084745763,4.59155938595998e-16,14.999999999972474
0.0033898305084745766,0.4067796610169492,4.3695511433023756e-16,14.99999999999201
0.0033898305084745766,0.423728813559322,6.269458875760574e-16,15.000000000010623
0.0033898305084745766,0.4406779661016949,1.9251851589552158e-15,15.00000000002883
0.0033898305084745766,0.4576271186440678,6.266593105329237e-16,15.000000000046771
0.0033898305084745766,0.4745762711864407,1.0301544042652092e-15,15.000000000064714
0.0033898305084745766,0.4915254237288136,2.3648950154396933e-15,15.000000000082915
0.0033898305084745766,0.5084745762711864,4.82193279138145e-15,15.000000000101712
0.0033898305084745766,0.5254237288135594,3.14942516847578e-16,15.000000000121148
0.0033898305084745766,0.5423728813559322,4.0633650452520247e-16,15.000000000141727
0.0033898305084745766,0.559322033898305,2.267388483803323e-15,15.000000000163576
0.0033898305084745766,0.576271186440678,1.436497396475057e-15,15.00000000018718
0.0033898305084745766,0.5932203389830508,8.934089991264723e-16,15.00000000021295
0.0033898305084745766,0.6101694915254238,2.2448349746939087e-15,15.000000000241197
0.0033898305084745766,0.6271186440677966,1.1360615975675122e-15,15.000000000272683
0.0033898305084745766,0.6440677966101694,1.4041257486191913e-15,15.00000000030808
0.0033898305084745766,0.6610169491525424,1.3026236180038293e-15,15.000000000348084
