J,mu,phi,<n>,<dN^2>
0.0,0.864406779661017,5.284180025676833e-15,9.0,9.0
0.0,0.8813559322033898,1.0152864094527355e-15,9.0,9.0
0.0,0.8983050847457628,8.454124714498771e-15,9.0,9.0
0.0,0.9152542372881356,1.1288029410317092e-14,9.0,9.0
0.0,0.9322033898305084,8.609011920652469e-15,9.0,9.0
0.0,0.9491525423728814,6.4249029100757174e-15,9.0,9.0
0.0,0.9661016949152542,9.103683669374219e-15,9.0,9.0
0.0,0.9830508474576272,7.062171016855515e-14,9.0,9.0
0.0,1.0,0.16441652901719422,9.967901025289944,9.967901025289944
0.0033898305084745766,0.0,6.800950023780789e-05,8.000000022670575,8.000000022670575
0.0033898305084745766,0.01694915254237288,9.158984457290822e-07,8.99999990900361,8.99999990900361
0.0033898305084745766,0.03389830508474576,2.920344324461833e-08,8.999999979429779,8.999999979429779
0.0033898305084745766,0.05084745762711865,4.4474463623614235e-09,8.999999991042007,8.999999991042007
0.0033898305084745766,0.06779661016949153,1.2412662636409617e-09,8.999999995015129,8.999999995015129
0.0033898305084745766,0.0847457627118644,4.807207090151999e-10,8.999999996839495,8.999999996839495
0.0033898305084745766,0.1016949152542373,2.2882879215139734e-10,8.99999999782736,8.99999999782736
0.0033898305084745766,0.11864406779661017,1.25569646207437e-10,8.999999998422556,8.999999998422556
0.0033898305084745766,0.13559322033898305,7.647372014725917e-11,8.999999998809214,8.999999998809214
0.0033898305084745766,0.15254237288135594,5.0439362702584273e-11,8.999999999074914,8.999999999074914
0.0033898305084745766,0.1694915254237288,3.543851643542581e-11,8.99999999926571,8.99999999926571
0.0033898305084745766,0.1864406779661017,2.6201707887384027e-11,8.999999999407654,8.999999999407654
0.0033898305084745766,0.2033898305084746,2.023004163924439e-11,8.999999999516474,8.999999999516474
0.0033898305084745766,0.22033898305084745,1.618889194628973e-11,8.999999999601961,8.999999999601961
0.0033898305084745766,0.23728813559322035,1.3364672667417715e-11,8.999999999670644,8.999999999670644
0.0033898305084745766,0.2542372881355932,1.1338449702002384e-11,8.99999999972693,8.99999999972693
0.0033898305084745766,0.2711864406779661,9.851693321831749e-12,8.999999999773953,8.999999999773953
0.0033898305084745766,0.288135593220339,8.742742374630957e-12,8.99999999981384,8.99999999981384
0.0033898305084745766,0.3050847457627119,7.910006641466429e-12,8.999999999848228,8.999999999848228
0.0033898305084745766,0.3220338983050847,7.283792882326275e-12,8.999999999878355,8.999999999878355
0.0033898305084745766,0.3389830508474576,6.818603555557126e-12,8.999999999905206,8.999999999905206
0.0033898305084745766,0.3559322033898305,6.4787943496613e-12,8.999999999929406,8.999999999929406
0.0033898305084745766,0.3728813559322034,6.243154041480701e-12,8.999999999951633,8.999999999951633
0.0033898305084745766,0.3898305084745763,6.095622998660864e-12,8.999999999972273,8.999999999972273
0.0033898305084745766,0.4067796610169492,6.027619118453321e-12,8.999999999991754,8.999999999991754
0.0033898305084745766,0.423728813559322,6.030597442524574e-12,9.000000000010477,9.000000000010477
0.0033898305084745766,0.4406779661016949,6.1050443574889016e-12,9.000000000028685,9.000000000028685
0.0033898305084745766,0.4576271186440678,6.252257721654824e-12,9.0000000000466,9.0000000000466
0.0033898305084745766,0.4745762711864407,6.473884735103539e-12,9.000000000064567,9.000000000064567
0.0033898305084745766,0.4915254237288136,6.776910328293632e-12,9.00000000008275,9.00000000008275
0.0033898305084745766,0.5084745762711864,7.164577072782528e-12,9.000000000101478,9.000000000101478
0.0033898305084745766,0.5254237288135594,7.671142452323566e-12,9.000000000120979,9.000000000120979
0.0033898305084745766,0.5423728813559322,8.301037561819111e-12,9.000000000141517,9.000000000141517
0.0033898305084745766,0.559322033898305,9.074068169165605e-12,9.00000000016341,9.00000000016341
0.0033898305084745766,0.576271186440678,1.0039064027946374e-11,9.000000000187054,9.000000000187054
0.0033898305084745766,0.5932203389830508,1.1236412203113469e-11,9.00000000021275,9.00000000021275
0.0033898305084745766,0.6101694915254238,1.2732778343431844e-11,9.000000000241068,9.000000000241068
0.0033898305084745766,0.6271186440677966,1.4612353130170815e-11,9.000000000272498,9.000000000272498
0.0033898305084745766,0.6440677966101694,1.6994213025717158e-11,9.000000000307834,9.000000000307834
0.0033898305084745766,0.6610169491525424,2.005808062821198e-11,9.000000000347951,9.000000000347951
0.0033898305084745766,0.6779661016949152,2.4032515695785435e-11,9.000000000393879,9.000000000393879
0.0033898305084745766,0.6949152542372882,2.9284074061801585e-11,9.000000000447045,9.000000000447045
0.0033898305084745766,0.711864406779661,3.6309935111378955e-11,9.000000000509294,9.000000000509294
0.0033898305084745766,0.7288135593220338,4.592880301209551e-11,9.000000000582984,9.000000000582984
0.0033898305084745766,0.7457627118644068,5.938398098050543e-11,9.000000000671418,9.000000000671418
0.0033898305084745766,0.7627118644067796,7.868788342873522e-11,9.000000000778966,9.000000000778966
